Player,P,W,D,L,Gls,OG,Ast,Pts,Pentalties,Extra Game / No Points,Games Played: 39
ArnaudD,24,16,2,6,36,,14,50,,1,
Karthik,28,16,2,10,26,,16,50,1,1,
Martijn,20,9,4,7,24,,10,31,1,,
Rory,26,9,3,14,23,,18,30,2,,
Quincy,33,18,4,11,13,,18,58,,1,
Mehdi,8,2,,6,12,,2,6,,,
Sam,20,6,1,13,11,,1,19,,1,
Adi,15,9,1,5,10,,6,28,,,
Moh,31,12,2,17,10,,5,38,,,
Niall,23,4,3,16,8,,14,15,,,
ArnaudK,28,13,2,13,8,,11,41,1,1,
Ayoub ,11,4,1,6,7,,6,13,,1,
Fred,24,13,2,9,7,,5,41,1,,
Chiu,32,14,3,15,7,,5,45,,1,
Jack,12,6,,6,6,,,18,,,
Ron,31,17,3,11,4,,8,54,1,1,
Lucien,10,5,,5,4,,7,15,,,
Hans,18,10,4,4,4,,3,34,,,
Toufik,9,4,1,4,4,,1,13,2,,
Ryan,5,2,1,2,4,,,7,,,
Howard,25,13,2,10,3,,8,41,1,1,
Marcus,11,5,2,4,3,,2,17,,1,
Lucas,11,3,1,7,3,,2,10,,,
Reinout,10,4,,6,3,,1,12,1,,
Nitin,26,9,4,13,3,,1,31,,,
Gaetan,1,1,,,3,,,3,,,
Shyne,2,1,,1,3,,,3,,1,
Aaron,7,2,,5,3,,,6,,,
Nicky,27,13,3,11,2,,2,42,,1,
JayJay,1,,1,,2,,1,1,,,
Paul,17,8,2,7,2,,,26,,,
Rob,8,6,1,1,2,,,19,,1,
Weiyu,34,17,4,13,1,,3,55,,1,
Shen,24,11,2,11,1,,2,35,,,
Pranay,22,13,1,8,1,1,1,40,,,
John,24,8,4,12,1,,1,28,,,
Dan M,5,3,,2,1,,1,9,,,
Steve,4,3,,1,1,,1,9,,1,
Jules,2,1,,1,1,,1,3,,1,
Ray,13,7,2,4,1,,,23,,1,
David,1,,1,,1,,,1,,,
Thomas,1,,1,,1,,,1,,,
Rhys,1,,,1,1,,,0,,,
Maxence,1,,,1,1,,,0,,,
Leigh,21,13,2,6,,,3,41,,,
Tony,35,10,4,21,,1,2,34,,1,
Bryan,32,13,4,15,,1,2,43,,,
Alex,13,5,1,7,,,2,16,,,
Nick,5,3,,2,,,1,9,,,
Wyatt,3,2,,1,,,1,6,,,
Marvin,3,1,,2,,,1,3,,,
Raymond,1,,,1,,,1,0,,,
Chee,21,7,2,12,,,,23,,1,
Ethan,5,3,,2,,,,9,,,
Victor,4,2,1,1,,,,7,,,
Frederick,5,2,,3,,,,6,,1,
Alexandre,1,1,,,,,,3,,,
Benoit,1,1,,,,,,3,,,
Bessam,3,1,,2,,,,3,,,
Dare,1,1,,,,,,3,,,
Howard+1,1,1,,,,,,3,,,
Jeanne,1,1,,,,,,3,,,
Ken,1,1,,,,,,3,,,
Petr ,1,1,,,,,,3,,,
Sebie,1,1,,,,,,3,,,
Roger,1,1,,,,,,3,,,
Claude,1,,1,,,,,1,,,
Hermann,1,,1,,,,,1,,,
Ahmed,1,,,1,,,,0,,,
Akhil,0,,,,,,,0,,,
Alexandre,0,,,,,,,0,,,
Ayush,0,,,,,,,0,,,
Benjamin ,0,,,,,,,0,,,
Bosco,1,,,1,,,,0,,,
Brian,1,,,1,,,,0,,,
Daniel,1,,,1,,,,0,,,
Davy,0,,,,,,,0,,,
Eric,0,,,,,,,0,,,
Eugene ,1,,,1,,,,0,,,
Florian ,0,,,,,,,0,,,
Gaetan,0,,,,,,,0,,,
Guilhem ,1,,,1,,,,0,,1,
Henri,0,,,,,,,0,,,
Henry,1,,,1,,,,0,,,
Howard+2,1,,,1,,,,0,,,
Jackie,2,,,2,,,,0,,,
Jeanne,0,,,,,,,0,,,
Jeremy ,0,,,,,,,0,,,
Joost,0,,,,,,,0,,,
Joseph ,1,,,1,,,,0,,,
Julien,0,,,,,,,0,,,
JV (Bryan+1),1,,,1,,,,0,,,
Kamel,0,,,,,,,0,,,
Kelvin,0,,,,,,,0,,,
Kevin,0,,,,,,,0,,,
Marcos,1,,,1,,,,0,,,
Memphis ,1,,,1,,,,0,,,
Ming,0,,,,,,,0,,,
Newfel,1,,,1,,,,0,,,
Nicholas,0,,,,,,,0,,,
Rick,0,,,,,,,0,,,
Sebastien ,1,,,1,,,,0,,,
Simon,0,,,,,,,0,,,
Tom S,0,,,,,,,0,,,
